number,date,place,claim,infact,slug,repeat,source,category1,category2,category3,category4,placecategory,10mostcommon,count,quote,lastupdated
1860,6-26-2018,Remarks at lunch with members of Congress,"""And how's our beautiful little road doing in Alaska?"" Sen. Lisa Murkowski: ""Well, we are moving along incrementally.  Not as fast as either you or I would like.  But we recognize --"" Trump: ""But it's almost ready."" Murkowski: ""We recognize that process is going to be important here, and we are standing by the process.  Thank you for asking."" Trump: ""Good. This was a road that was -- I guess it's been -- they've been trying to build it for 30 years. We're going to get it done very quickly. It's almost completed. So they're almost through."" Murkowski: ""Ten-mile, one-lane, gravel, non-commercial use road. That's what we've been fighting about for 30 years."" Trump: ""Yeah, many years. But we're going to get it done. I'd say within the next couple of months it will be complete, and they can go ahead and build.""","Trump was referring to a controversial proposed road through Alaska's Izembek National Wildlife Refuge. As Alaska Public Media noted, and Murkowski appeared to be trying to communicate here, the road is not ""almost completed."" Alaska Public Media wrote: ""In January, Interior Secretary Ryan Zinke agreed to exchange land in the Izembek National Wildlife Refuge for the road corridor. But that's about as far as it's gone. Conservation groups are suing, saying the land exchange has to undergo environmental review...While the land exchange is pending, the environmental review for the road itself hasn't begun, at least not under the Trump administration. For controversial projects, the process can take years.""",Alaska road almost done,no,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-lunch-members-congress/,Environment,Infrastructure,,,Informal remarks at events,,,,
1859,6-26-2018,Remarks at lunch with members of Congress,"""And, step by step, we got rid of the individual mandate and Obamacare.""","Trump did eliminate Obamacare's individual mandate. He did not get rid of Obamacare as a whole. For example, he has not eliminated Obamacare's expansion of the Medicaid insurance program for low-income people, the federal and state Obamacare marketplaces that allow other uninsured people to buy insurance, or the subsidies that help many of them make the purchases. Nor has he touched various Obamacare rules for the insurance market, like its prohibition on insurers denying coverage to people with pre-existing conditions.",Obamacare dead,Yes,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-lunch-members-congress/,Health care,,,,Informal remarks at events,,,,
1858,6-26-2018,Remarks at lunch with members of Congress,"""You know, Lamar, you mentioned entitlements.  We were all set to repeal and replace Obamacare, and then we were very surprised by one gentleman who decided to vote against it after campaigning for it for about 14 years -- or since its inception, I guess, eight years.  But that would have saved about a trillion dollars. That one vote would have saved a trillion dollars."" And: ""But we could have saved a trillion dollars in entitlements with one more vote, and we didn't get that vote. So that's too bad.""","Sen. John McCain's vote against Trump's plan to repeal and replace Obamacare did not cost the country $1 trillion. As the Washington Post noted: ""Trump's estimate is way off. The Senate bill to repeal and replace Obamacare that Trump is talking about would have reduced the deficit by a net $321 billion over 10 years, according to a joint analysis by the Congressional Budget Office and the Joint Committee on Taxation.""",1 trillion McCain vote,Yes,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-lunch-members-congress/,Health care,Exaggeration,,,Informal remarks at events,,,,
1857,6-26-2018,Remarks at lunch with members of Congress,"""We're discussing, today, the funding of the wall, which we very much need. We started the wall. We're spending a lot of energy and a lot of time. And started up in San Diego and other places; it's under construction now. We have $1.6 billion.""","Construction on Trump's border wall has not started, in San Diego or anywhere else. When he has made this claim in the past, Trump has appeared to be referring to a project in which a 2.25-mile stretch of existing wall in California is being replaced by a taller wall. That project was proposed in 2009, and the Los Angeles Times reported that Border Patrol spokesperson Jonathan Pacheco told reporters in March: ""First and foremost, this isn't Trump's wall. This isn't the infrastructure that Trump is trying to bring in. ... This new wall replacement has absolutely nothing to do with the prototypes that were shown over in the San Diego area."" The $1.6 billion Congress allocated to border projects in 2018 is not for the type of giant concrete wall Trump has proposed: spending on that kind of wall is expressly prohibited in the legislation, and much of the congressional allocation is for replacement and reinforcement projects rather than new construction.",We started building wall,Yes,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-lunch-members-congress/,Immigration,California,,,Informal remarks at events,,,,
1856,6-25-2018,"Campaign rally in West Columbia, South Carolina","""We have $7 trillion invested in the Middle East. What do we have? What do we have other than death and destruction? What do we have? What a decision that was to go in...Truly one of the worst decisions ever made in this country. $7 trillion and thousands of lives -- we count the lives on both sides, folks, millions of lives in my opinion, millions.""","There is no basis for the ""$7 trillion"" figure. During the 2016 campaign, Trump cited a $6 trillion estimate that appeared to be taken from a 2013 report from Brown University's Costs of War Project. (That report estimated $2 trillion in costs up to that point but said the total could rise an additional $4 trillion by 2053.) Trump, however, used the $6 trillion as if it was a current 2016 figure. He later explained that since additional time has elapsed since the campaign, he believes the total is now $7 trillion. That is incorrect. The latest Brown report, issued in late 2017, put the current total at $4.3 trillion, and the total including estimated future costs at $5.6 trillion.",Seven trillion Middle East,Yes,https://factba.se/transcript/donald-trump-speech-south-carolina-gop-mcmaster-june-23-2018,Middle East,Military,Exaggeration,,Speeches,,,,
1855,6-25-2018,"Campaign rally in West Columbia, South Carolina","""You've heard that story. I want the word 'cut.' So, we cut regulations more than any president in history whether it's four years, eight years, 16 years.""","No president has served for 16 years. The longest-serving president, Franklin D. Roosevelt, served just over 12 years, dying shortly into his fourth term.",16 years president,Yes,https://factba.se/transcript/donald-trump-speech-south-carolina-gop-mcmaster-june-23-2018,Past presidents,,,,Speeches,,,,
1854,6-25-2018,"Campaign rally in West Columbia, South Carolina","""I don't believe -- so now it's 511 days. I don't believe any administration...I don't believe and I don't even think it's close that any president has done what we've done in 500 days.""","Trump was speaking on the 522nd day of his presidency, not the 511th. ",511 days,Yes,https://factba.se/transcript/donald-trump-speech-south-carolina-gop-mcmaster-june-23-2018,Trump White House,,,,Speeches,,,,
1853,6-25-2018,"Campaign rally in West Columbia, South Carolina","""It has to happen, it's not like -- that's not a threat, it's like the Iran Deal, we're so bad, we paid $150 billion to sign a horrible agreement, we gave $1.8 billion in cash to pick up four hostages. They're the wealthiest hostages in the world. They have the highest net worth of any hostage in history.""","Trump appeared to be attempting to making a kind of dark joke, but his suggestion that former U.S. prisoners in Iran have themselves become wealthy through a deal that secured their release is false; this payment went to the Iranian government. (The Obama administration denied that the money was paid to secure the release of the prisoners, though the two things happened around the same time. The $1.7 billion was a settlement of a dispute over $400 million Iran had paid the U.S. for fighter jets that were never delivered after the country's Islamic revolution; Obama paid back $400 million, plus $1.3 billion in a settlement over the interest.)",Hostages wealthy,no,https://factba.se/transcript/donald-trump-speech-south-carolina-gop-mcmaster-june-23-2018,Iran,,,,Speeches,,,,
1852,6-25-2018,"Campaign rally in West Columbia, South Carolina","""It has to happen, it's not like -- that's not a threat, it's like the Iran Deal, we're so bad, we paid $150 billion to sign a horrible agreement...""","The ""$150 billion"" figure has no basis. Experts said Iran had about $100 billion in worldwide assets at the time; after the nuclear deal unfroze Iranian assets, Iran was able to access a percentage of that $100 billion, but not all of it. PolitiFact reported: ""The actual amount available to Iran is about $60 billion, estimates Garbis Iradian, chief economist at the Institute of International Finance. U.S. Treasury Secretary Jack Lew pinned it at $56 billion, while Iranian officials say $35 billion, according to Richard Nephew, an expert on economic sanctions at Columbia University's Center on Global Energy Policy.""",Iran deal size,Yes,https://factba.se/transcript/donald-trump-speech-south-carolina-gop-mcmaster-june-23-2018,Middle East,Exaggeration,Iran,,Speeches,,,,
1851,6-25-2018,"Campaign rally in West Columbia, South Carolina","""Last year on trade, our country lost $817 billion with a B, billion dollars, 817. We lost $817 billion, who the hell can do that? I mean, we don't have to be perfect, we don't even have to get it down to zero, but we can't lose 800 -- and so, because you feel like sort of stupid, don't you? Don't you feel stupid?""","The U.S. has never had a $800 billion trade deficit. The 2017 deficit was $566 billion. It was only $800 billion -- $810 billion, to be precise, not $817 billion -- if you do not count trade in services. Trump, as usual, did not say he was doing so.",Trade deficit,Yes,https://factba.se/transcript/donald-trump-speech-south-carolina-gop-mcmaster-june-23-2018,Economy,Trade,Exaggeration,,Speeches,,,,
1850,6-25-2018,"Campaign rally in West Columbia, South Carolina","""And it's all going to work out, it's all going to work out. Remember this, remember this, it's all going to work out, because we're the piggy bank that they like to take from, whether it's military protection, you look at NATO, NATO, we're spending 90 per cent of NATO...""","According to NATO's 2018 annual report, U.S. defence spending represented 72 per cent of the alliance's total defence spending in 2017. With regard to direct contributions to NATO's own common budget, the U.S. contributes a much smaller agreed-upon percentage: 22 per cent.",US NATO spending,Yes,https://factba.se/transcript/donald-trump-speech-south-carolina-gop-mcmaster-june-23-2018,NATO,Military,Exaggeration,,Speeches,,,,
1849,6-25-2018,"Campaign rally in West Columbia, South Carolina","""They don't let our farmers into the European Union, it's very hard. So we have farmers that want to sell, you don't hear these stories, this is why, with these people, they don't tell you these stories. The European Union has what they call trade barriers, the European Union doesn't allow our farmers to go and trade, it's very hard for them to go to trade.""","While U.S. farmers do face some trade barriers in selling into the European Union, it is a gross exaggeration to say the EU simply ""doesn't allow our farmers to go and trade."" According to the website of Trump's own Department of Agriculture, the U.S. exported $11.6 billion in agricultural items to the European Union in 2016 and $11.5 billion in 2017. The EU ranked fourth in the world for U.S. agricultural exports in 2016 and fifth in 2017.",EU doesn't accept farm products,Yes,https://factba.se/transcript/donald-trump-speech-south-carolina-gop-mcmaster-june-23-2018,European Union,Trade,Farmers,,Speeches,,,,
1848,6-25-2018,"Campaign rally in West Columbia, South Carolina","""European Union, we lost $151 billion last year with the European Union.""","The U.S. had a $102 billion trade deficit with the European Union in 2017. The $151 billion figure counts only trade in goods and excludes trade in services. Trump, as usual, did not say he was doing so.",EU deficit 151 billion,Yes,https://factba.se/transcript/donald-trump-speech-south-carolina-gop-mcmaster-june-23-2018,European Union,Trade,Exaggeration,,Speeches,,,,
1847,6-25-2018,"Campaign rally in West Columbia, South Carolina","""I got a bad hand with all these horrible trade deals, NAFTA is a disaster, Mexico is going to make over $100 billion in the United States this year...""","Trump is off by at least $31 billion, or at least $29 billion if you give him the benefit of the doubt. The U.S. trade deficit with Mexico was $71 billion in 2017 when counting goods alone, according to the U.S. Census Bureau. Including trade in services, the net deficit was $69 billion, the U.S. Bureau of Economic Analysis said in a report released the same month Trump spoke. (The Bureau of Economic Analysis uses a different method of calculating deficits and surpluses than the Census Bureau.)",Mexico deficit,Yes,https://factba.se/transcript/donald-trump-speech-south-carolina-gop-mcmaster-june-23-2018,Mexico,Trade,Exaggeration,NAFTA,Speeches,,,,
1846,6-25-2018,"Campaign rally in West Columbia, South Carolina","""And they want five thousand (immigration judges), I said, 'Where are you going to find five thousand people to be judges? How many do we have now?' I don't know the number. They don't even know the number, even though they're in charge, OK? Nobody knows the number. We have thousands of judges already.""","The U.S. does not have thousands of immigration judges, and people do know the actual number: Congress had allocated money for 484 such judges, and 334 were in place as of mid-April.",Nobody knows how many immigration judges,no,https://factba.se/transcript/donald-trump-speech-south-carolina-gop-mcmaster-june-23-2018,Immigration,,,,Speeches,,,,
1845,6-25-2018,"Campaign rally in West Columbia, South Carolina","""We have no idea who they are, and they came to me three days ago. 'Sir, we'd like you to sign this order.' What is the order? 'We need five thousand judges on the border.' I said, 'Judges?' What other country has judges? I said, 'How many do we have now?' They didn't even know. So we have thousands of judges and now we're going to have five thousand...But they come up, and this was an order, this was -- 'Sir, we need five thousand judges.' I said, five thousand?""","At the time Trump spoke, there was no mainstream proposal to hire 5,000 more immigration judges. Congress had allocated money for 484 immigration judges; fewer than 400 were actually in place. Republican Texas Sen. Ted Cruz was proposing to hire 375 more, while other Republican senators were proposing to hire 225 more.",Thousands of immigration judges,Yes,https://factba.se/transcript/donald-trump-speech-south-carolina-gop-mcmaster-june-23-2018,Immigration,Exaggeration,,,Speeches,,,,
1844,6-25-2018,"Campaign rally in West Columbia, South Carolina","""We want very tight, very strict borders, and by the way, you saw a 70-year low, with all the complaining I'm doing, we've done a very good job, and we have taken thousands, we have taken -- we got to get that wall built all the way across, and they don't want it, that's like a symbol.""","U.S. Customs and Border Protection announced in late 2017 that illegal immigration through the southwest border, as measured by the number of people apprehended by border authorities at that border, had fallen to a 45-year low. It has since increased. Even before the increase, it was not at a ""70-year low."" According to official data from U.S. Customs and Border Protection, the number of apprehensions was far lower throughout the 1960s than it was in 2017. For example, in 1963, there were 29,644 apprehensions at the southwest border for the whole year, less than there were in six individual months in 2017.",70-year low in immigration,no,https://factba.se/transcript/donald-trump-speech-south-carolina-gop-mcmaster-june-23-2018,Immigration,Exaggeration,,,Speeches,,,,
1843,6-25-2018,"Campaign rally in West Columbia, South Carolina","""It's incredible how nobody wants the wall until it's in their backyard. 'Do you mind building us?' They didn't like people walking across their front lawns in San Diego.""","There is no evidence that the people of San Diego are supportive of the wall at all, let alone that they have, as Trump has repeatedly claimed, pleaded with Trump to build it for them. San Diego city council voted 5-3 in September to express opposition, and even the Republican mayor, Kevin Faulconer, has stated that he is opposed: ""Mayor Faulconer has been clear in his opposition to a border wall across the entirety of the U.S. southern border,"" a spokesperson said in September. (The board of supervisors of San Diego County has voted to endorse a lawsuit against California ""sanctuary"" laws protecting unauthorized immigrants, but ""this county has taken no action with regard to the wall,"" county spokesperson Michael Workman told local news outlet KPBS.)",San Diego wall,Yes,https://factba.se/transcript/donald-trump-speech-south-carolina-gop-mcmaster-june-23-2018,Immigration,California,,,Speeches,,,,
1842,6-25-2018,"Campaign rally in West Columbia, South Carolina","""Oh, it's happening. It's not 'build that wall' anymore, it's 'continue building that wall,' because we're building it. We're building it, we're fixing it miles and miles, we've got $1.6 billion, we're fixing the wall, we're building wall in San Diego...""","Construction on Trump's border wall has not started, in San Diego or anywhere else. When Trump has made this claim in the past, he has appeared to be referring to a project in which a 2.25-mile stretch of existing wall in California is being replaced by a taller wall. That project was proposed in 2009, and the Los Angeles Times reported that Border Patrol spokesperson Jonathan Pacheco told reporters in March: ""First and foremost, this isn't Trump's wall. This isn't the infrastructure that Trump is trying to bring in. ... This new wall replacement has absolutely nothing to do with the prototypes that were shown over in the San Diego area."" The $1.6 billion Congress allocated to border projects in 2018 is not for the type of giant concrete wall Trump has proposed: spending on that kind of wall is expressly prohibited in the legislation, and much of the congressional allocation is for replacement and reinforcement projects rather than new construction.",We started building wall,Yes,https://factba.se/transcript/donald-trump-speech-south-carolina-gop-mcmaster-june-23-2018,Immigration,California,,,Speeches,,,,
1841,6-25-2018,"Campaign rally in West Columbia, South Carolina","""I said, 'Don't hurt yourself by apologizing.' So I said to him today on social media, I said, 'Jimmy, be a man. Just relax. Just relax.' It's incredible.""","Trump tweeted to Jimmy Fallon the day prior, on June 24, not ""today.""",Tweet to fallon,no,https://factba.se/transcript/donald-trump-speech-south-carolina-gop-mcmaster-june-23-2018,Sports and entertainment,,,,Speeches,,,,
1840,6-25-2018,"Campaign rally in West Columbia, South Carolina","""I said the other day because as you saw in my last speech, it's in Minnesota, great place, unbelievable crowd. It seated 9,000 and they had 15,000 or 20,000 people outside couldn't get in, it was incredible, just like you have a lot of people outside, you just can't.""","While there are no precise numbers available, ""15,000 or 20,000 people outside"" is an exaggeration. Trump initially tweeted that ""at least 10,000"" couldn't get in, then made it ""at least 15,000,"" then, here, made it ""15,000 or 20,000."" The local Star Tribune put the number at ""many hundreds."" Duluth Mayor Emily Larson, a Democrat, said in an email: ""People on site who manage crowds believe a few thousand were left out of entry. To me, that is 2k to 3k...Our people on site are used to counting crowds since we have considerable tourism and large events in our city.""",Turned away Minnesota,Yes,https://factba.se/transcript/donald-trump-speech-south-carolina-gop-mcmaster-june-23-2018,Crowds,Exaggeration,,,Speeches,,,,
1839,6-25-2018,"Campaign rally in West Columbia, South Carolina","""You want to check these pollsters, where they're coming from, they knew. We had one with ABC, I think it was ABC Washington Post just before the election, like a week before we're down 12. Now, if you're down 12, OK, if you're down 12 it's over if the polls are real. But I said it can't be real, we just went to Michigan, we had 30,000 people...""","Trump was referring again to his election-eve rally in Grand Rapids, Michigan, which did not draw even close to 30,000 people. The capacity of the hall where Trump held the rally was 4,200. Local newspapers reported that the room was over capacity, and that there was a large crowd outside, but the total was nowhere near 30,000. When Trump claimed that the rally drew 32,000 people, Nick LaFave, a news anchor for WZZM 13 television in Grand Rapids, wrote on Twitter: ""I covered that rally. The place was definitely beyond capacity. I think we estimated 8k. Many more outside who never got in. But, no way that got to 32k. None. No way.""",Michigan crowd,Yes,https://factba.se/transcript/donald-trump-speech-south-carolina-gop-mcmaster-june-23-2018,Crowds,Exaggeration,Election,,Speeches,,,,
1838,6-25-2018,"Campaign rally in West Columbia, South Carolina","""You want to check these pollsters, where they're coming from, they knew. We had one with ABC, I think it was ABC/Washington Post just before the election, like a week before we're down 12. Now, if you're down 12, OK, if you're down 12 it's over if the polls are real.""","Twelve days before the 2016 election, on October 27, 2016, the ABC/Washington Post tracking poll had Trump down two points to Hillary Clinton, 47 per cent to 45 per cent, not 12 points.",ABC Post down 12,no,https://factba.se/transcript/donald-trump-speech-south-carolina-gop-mcmaster-june-23-2018,Election,Polls,,,Speeches,,,,
1837,6-25-2018,"Campaign rally in West Columbia, South Carolina","""Even Gallup, Gallup, who treats me horribly, polls are fake news also. What they do is called suppression. They put out these horrible polls and then they hope that everyone's going to say, 'Hey, look, I like Trump, but he's got no chance of winning.' Suppression, it should be illegal actually.""",There is no evidence that Gallup is manipulating its polls to harm Trump.,Poll suppression,no,https://factba.se/transcript/donald-trump-speech-south-carolina-gop-mcmaster-june-23-2018,Polls,,,,Speeches,,,,
1836,6-25-2018,"Campaign rally in West Columbia, South Carolina","""I won when I won South Carolina, but to win all up and down the east coast, to win Wisconsin, which hasn't been won in many years, like 1972 I think, that's a long time...""","The last Republican presidential candidate to win Wisconsin was Ronald Reagan in 1984, not Richard Nixon in 1972.",Wisconsin victory,Yes,https://factba.se/transcript/donald-trump-speech-south-carolina-gop-mcmaster-june-23-2018,Election,Republicans,Iran,,Speeches,,,,
1835,6-25-2018,Remarks before meeting with King of Jordan,"""Well, one of the highest on the list is immigration. And we have to change our laws. We have to make them sensible. They came in to see me last week; they said, 'We'd like to hire 5,000 more judges.' Five thousand. You ever hear of thing like that? Judges. Well, we're appointing 145 judges here, and everyone goes through this extreme vetting process. You're talking about 5,000. Where do you find 5,000 people to be judges?""","At the time Trump spoke, there was no mainstream proposal to hire thousands of immigration judges. Republican Texas Sen. Ted Cruz was proposing to hire 375 more, while other Republican senators were proposing to hire 225 more. Congress had allocated money for 484 immigration judges; fewer than 400 were actually in place.",Thousands of immigration judges,Yes,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-majesty-king-abdullah-ii-bin-al-hussein-hashemite-kingdom-jordan-bilateral-meeting/,Immigration,Exaggeration,,,Informal remarks at events,,,,
1834,6-25-2018,Twitter,"""Surprised that Harley-Davidson, of all companies, would be the first to wave the White Flag. I fought hard for them and ultimately they will not pay tariffs selling into the E.U., which has hurt us badly on trade, down $151 Billion.""","The U.S. had a $102 billion trade deficit with the European Union in 2017. The $151 billion figure counts only trade in goods and excludes trade in services. Trump, as usual, did not say he was doing so.",EU deficit 151 billion,Yes,https://twitter.com/realdonaldtrump/status/1011360410648416258,European Union,Trade,Exaggeration,,Twitter,,,,
1833,6-25-2018,Twitter,"""Hiring many thousands of judges, and going through a long and complicated legal process, is not the way to go - will always be disfunctional. ","At the time Trump spoke, there was no mainstream proposal to hire thousands of immigration judges. Republican Texas Sen. Ted Cruz was proposing to hire 375 more, while other Republican senators were proposing to hire 225 more. Congress had allocated money for 484 immigration judges; fewer than 400 were actually in place.",Thousands of immigration judges,Yes,https://twitter.com/realDonaldTrump/status/1011228265003077632,Immigration,Exaggeration,,,Twitter,,,,
1832,6-25-2018,Twitter,"""Hiring many thousands of judges, and going through a long and complicated legal process, is not the way to go -- will always be disfunctional. People must simply be stopped at the Border and told they cannot come into the U.S. illegally. Children brought back to their country...If this is done, illegal immigration will be stopped in it's tracks - and at very little, by comparison, cost.""","Stopping and deporting people at the Mexican border would slow illegal immigration but not ""stop illegal immigration in its tracks."" Contrary to Trump's frequent suggestion, most illegal immigration does not come from people walking across the border but through people overstaying their legal visas. As the Washington Post reported: ""In fiscal 2016, U.S. officials reported 408,870 southwest border apprehensions, 544,676 visa overstays and 65,218 asylum claims.""",Stop immigration stop border,no,https://twitter.com/realDonaldTrump/status/1011231137233080321,Immigration,Exaggeration,,,Twitter,,,,
1831,6-25-2018,Twitter,"""Such a difference in the media coverage of the same immigration policies between the Obama Administration and ours. Actually, we have done a far better job in that our facilities are cleaner and better run than were the facilities under Obama. Fake News is working overtime!""","Obama did not have the same immigration policy as the Trump policy that was receiving the intense media coverage. While some families were separated under Obama and some children detained, Obama did not use Trump's ""zero tolerance"" policy of attempting to criminally prosecute everyone apprehended crossing the border illegally, the policy that has led, under Trump, to regular family separation. The Trump administration implemented this policy in early 2018.",Obama same immigration policies,no,https://twitter.com/realDonaldTrump/status/1011226622324887556,Barack Obama,Immigration,,,Twitter,,,,
1830,6-25-2018,Twitter,"""The Red Hen Restaurant should focus more on cleaning its filthy canopies, doors and windows (badly needs a paint job) rather than refusing to serve a fine person like Sarah Huckabee Sanders. I always had a rule, if a restaurant is dirty on the outside, it is dirty on the inside!""","After conducting a visual analysis, the Washington Post concluded the building exterior is not filthy, while imperfect, and ""does not seem to badly need a paint job."" This, of course, is a matter of opinion. More importantly, there is no evidence at all for Trump's insinuation that the restaurant interior is filthy. Unlike some of the president's own restaurants, the Red Hen has aced its most recent health inspections. The Post noted: ""The February inspector had only positive remarks...saying, among other things, that 'staff had clean uniforms/aprons and line cook had hair restrained.'""",Red Hen filthy,no,https://www.politico.com/story/2018/06/25/trump-red-hen-response-669331,Trump White House,,,,Twitter,,,,
1829,6-23-2018,Interview with Mike Huckabee,"""You know, regulations. I've cut more regulations than any other president in four years, eight years, or, you know, in the case, we have a 16-year-er, right.""","No president has served for 16 years. The longest-serving president, Franklin D. Roosevelt, served just over 12 years, dying shortly into his fourth term.",16 years president,Yes,https://www.youtube.com/watch?v=fQf30lPtwrQ,Past presidents,,,,Interviews,,,,
1828,6-23-2018,Interview with Mike Huckabee,"""We put it (a tariff) on solar panels. And we had 32 empty plants, we had 32 plants, there were many of them closed, now many of them are opening again. We put a tariff, a 30 per cent tariff, on solar panels.""","There is no indication that ""many"" shuttered solar plants have reopened since Trump imposed his tariffs.",Solar plants reopened,no,https://www.youtube.com/watch?v=fQf30lPtwrQ,Trade,,,,Interviews,,,,
1827,6-23-2018,Interview with Mike Huckabee,"""United States Steel is now expanding and opening six new plants.""","At the time Trump spoke, U.S. Steel had only announced a major development at one facility since Trump introduced his steel tariffs: it said it was restarting two shuttered blast furnaces at its plant in Granite City, Illinois. Chuck Bradford, an industry analyst who follows U.S. Steel, said he was ""not aware"" of the company opening any other facilities. U.S. Steel did not respond to repeated requests for comment about this.",US Steel six plants,Yes,https://www.youtube.com/watch?v=fQf30lPtwrQ,Steel,Economy,,,Interviews,,,,
1826,6-23-2018,Interview with Mike Huckabee,"""The all-time beauty is the lottery. We pick names out. So do you think the country is giving us their finest? Are they giving us the Sarah Huckabees of the world? I don't think so, OK? I don't think so. They're giving us some rough, tough people. And we want merit. We don't want that. So we don't want a lottery system. I mean, who can blame a country -- Honduras and these different -- who can blame them?""","This is, as usual, an inaccurate description of the Diversity Visa Lottery program. Contrary to Trump's suggestion that Honduras and other countries are intentionally ""giving"" the U.S. ""rough, tough people"" rather than excellent citizens, foreign countries do not ""give"" anyone to the lottery in an attempt to get them to leave. Would-be immigrants sign up on their own, as individuals, of their own free will, because they want to immigrate.",Diversity lottery bad apples,Yes,https://www.youtube.com/watch?v=fQf30lPtwrQ,Immigration,Crime,,,Interviews,,,,
1825,6-23-2018,"Roundtable on tax reform in Las Vegas, Nevada","""If you remember, before I got elected, it sounded like we were going to war with North Korea.""",There was no indication that the U.S. was going to war with North Korea in the Obama era prior to Trump's election. ,Everyone assumed Korea war,Yes,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-roundtable-discussion-tax-reform-3/ ,North Korea,,,,Informal remarks at events,,,,
1824,6-23-2018,"Roundtable on tax reform in Las Vegas, Nevada","""So we're negotiating deals. The steel industry -- I don't know if you've been seeing what's happening, but the steel industry is coming back. United States Steel is expanding. We're building brand new plants and beautiful new expansions. They haven't done it in 35 years."" ","While many U.S. steel mills have shut down since the early 1980s, it is far from true that no steel mill had opened or expanded in the 35 years before Trump imposed his steel tariffs. In 2013, Big River Steel announced an investment of more than $1 billion to build a new steel mill in Arkansas; construction began in 2014, and full-time production at the mill began in March 2017, a year before Trump's tariffs. Nucor opened a steel plate mill in North Carolina in 2000, part of a flurry of mill construction around that time. The industry publication New Steel reported in 1998 on numerous recent and upcoming mill openings: ""One wave of new-mill construction is almost over as North Star Kingman (Ariz.), North Star BHP, Trico, Ipsco, Nucor Berkeley (S.C.), and other mills have started up in the last couple of years. But another wave is beginning. Nucor, Steel Dynamics Inc. (SDI), Chaparral, and Ipsco are boosting capital spending for the minimill sector this year and next by building new plate and structurals mills. U.S. minimills' capital spending will be $1.41 billion this year, up from $1.22 billion in 1997...Chaparral will build a $400 million structurals mill in Dinwiddie County, Va. Production is scheduled to begin in mid-1999. Nucor's plate mill in Hertford County, N.C., will cost $300 million and will produce 1 million annual tons. It will begin production in 2000. Nucor will complete other large projects by that time. A new $150 million structurals mill in Berkeley County will begin production this fall. A $120 million cold mill with a 500,000-annual-ton galvanizing line and 800,000-ton cold-rolling line in Hickman, Ark., will be installed by early next year...SDI will begin building a new, $285 million structurals mill in Whitley County, Ind., late this year. Production will begin in early 2000...Ipsco, Canada's largest minimill company, is trying to increase production at its new plate mill in Montpelier, Iowa.""",No steel mills in 30 years,Yes,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-roundtable-discussion-tax-reform-3/ ,Steel,Economy,,,Informal remarks at events,,,,
1823,6-23-2018,"Roundtable on tax reform in Las Vegas, Nevada","""We lost, last year, $800 billion, with a B -- $800 billion on trade. And, in fact, I want to be very precise because Steve is such a great lawyer. It's $817 billion, to be exact.""","The U.S. has never had a $800 billion trade deficit. (Trump uses ""losses"" to mean deficits.) Last year's deficit was $566 billion. It was only $800 billion -- $810 billion, to be precise, not $817 billion -- if you do not count trade in services. Trump, as usual, did not say he was doing so.",Trade surpluses,Yes,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-roundtable-discussion-tax-reform-3/ ,Economy,Trade,Exaggeration,,Informal remarks at events,,,,
1822,6-23-2018,"Roundtable on tax reform in Las Vegas, Nevada","""The Heritage Foundation just came out recently, and they said that we've already implemented 64 percent of our top agenda items.""","Trump was wrongly describing what Heritage, a conservative think tank, actually said (in February, four months prior). Thomas Binion, Heritage's director of congressional and executive branch relations, told the Washington Examiner that Trump had implemented 64 per cent of Heritage's policy recommendations, not 64 per cent of Trump's top agenda items. There is significant overlap between the two, but they are not the same thing.",64 per cent Heritage,Yes,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-roundtable-discussion-tax-reform-3/ ,Promises,,,,Informal remarks at events,,,,
1821,6-23-2018,Speech to Nevada Republican Party,"""For farmers and for small businesses, we have eliminated the estate tax.""","The estate tax, which applies only to the country's wealthiest people, was not ""destroying small businesses and farms"" before Trump's tax law: only a tiny number of farmers and small-businesspeople qualify for it. According to the Tax Policy Center, a mere 80 farms and small businesses are among the 5,460 estates likely to pay the estate tax in 2017. The Center writes on its website: ""The Tax Policy Center estimates that small farms and businesses will pay $30 million in estate tax in 2017, fifteen hundredths of 1 percent of the total estate tax revenue."" ",Farmers estate tax,Yes,https://www.youtube.com/watch?v=M-9pH5bdcqo,Farmers,Taxes,,,Speeches,,,,
1820,6-23-2018,Speech to Nevada Republican Party,"""We secured a record $700 billion and then next year $716 billion to bring our military to the highest level it has ever been.""","Trump's $700 billion defence budget is not a record. As the New York Times noted, Obama signed a $725 billion version of the same bill in 2011.",Record defence spending,Yes,https://www.youtube.com/watch?v=M-9pH5bdcqo,Military,,,,Speeches,,,,
